covariance_type,n_components,iteration,precision,recall,f1-score
tied,42,3,0.94499373233029227,0.9412871659766654,0.94149744080010966
tied,43,1,0.93862325890481801,0.93526533684606694,0.93557709697520375
tied,43,2,0.94002205215118073,0.93526533684606694,0.93561434897323026
tied,43,3,0.93746074723898143,0.93300715092209263,0.9331921386111236
tied,44,1,0.94580294384197516,0.94279262325931501,0.94298576814838353
tied,44,2,0.9463361522970225,0.94429808054196462,0.94390211718916428
tied,44,3,0.93877639426593251,0.93526533684606694,0.93539144930923035
tied,45,1,0.9367012462182549,0.93338351524275498,0.93354129399053065
tied,45,2,0.94259731096227817,0.93940534437335343,0.93938635524172109
tied,45,3,0.9388853794855756,0.9356417011667294,0.9358979575002111
tied,46,1,0.93806087163769458,0.93639442980805421,0.93598558365708595
tied,46,2,0.94447456183979828,0.94091080165600305,0.9408286866824217
tied,46,3,0.9444355350749345,0.94015807301467824,0.94017925306398886
tied,47,1,0.93317359123242494,0.9292435077154686,0.92913626311876474
tied,47,2,0.94439499776658897,0.9412871659766654,0.94119893741740113
tied,47,3,0.93451611977024074,0.93225442228076782,0.93174457493887408
tied,48,1,0.93957749055761186,0.93601806548739175,0.93611549658405657
tied,48,2,0.93274253108465544,0.92736168611215652,0.92743899906745575
tied,48,3,0.93861020022800745,0.93601806548739175,0.93611384699349354
tied,49,1,0.93947018497621049,0.93677079412871656,0.93676502427474428
tied,49,2,0.94672341543913729,0.94392171622130228,0.94377560650777292
tied,49,3,0.95225851073534451,0.95107263831388789,0.95077284945124807
tied,50,1,0.94511870872728976,0.94241625893865266,0.94245960517825789
tied,50,2,0.94655271203222124,0.94316898757997747,0.94345773125184784
tied,50,3,0.93721326831468987,0.93601806548739175,0.9355141547653798
diag,1,1,0.81151883892851739,0.7192322167858487,0.72555056077249236
